from_table,from_column,to_table,edge_kind,how,cross_schema,required
retail.shop_and_drop_line,drop_id,retail.shop_and_drop,child,DDL foreign key,,
retail.shop_and_drop_line,merchandise_id,retail.merchandise,reference,convention,,
retail.shop_and_drop_line,shop_and_drop_id,retail.shop_and_drop,child,child,,yes
retail.wallet,subject_id,pii.subject,ambient,convention,yes,yes
retail.wallet_transaction,order_id,orders.sales_order,reference,convention,yes,
retail.wallet_transaction,principal_id,identity.principal,ambient,convention,yes,
retail.wallet_transaction,subject_id,retail.wallet,child,implied by path,,
retail.wallet_transaction,venue_id,platform.scope_node,ambient,convention,yes,
seating.import_job,seat_map_id,seating.seat_map,reference,convention,,yes
seating.seat,seat_map_id,seating.seat_map,child,implied by path,,
seating.seat_block,created_by_principal_id,identity.principal,ambient,role,yes,
seating.seat_block,performance_id,catalogue.performance,reference,convention,yes,yes
seating.seat_category,venue_id,platform.scope_node,ambient,convention,yes,yes
seating.seat_hold,block_id,seating.seat_block,child,implied by path,,
seating.seat_hold,held_by_principal_id,identity.principal,ambient,role,yes,
seating.seat_hold,performance_id,catalogue.performance,reference,convention,yes,yes
seating.seat_hold,subject_id,pii.subject,ambient,convention,yes,
seating.seat_map,venue_id,platform.scope_node,ambient,convention,yes,yes
seating.seat_map_template,region_id,platform.scope_node,ambient,declared,yes,yes
seating.seating_rules,seat_map_id,seating.seat_map,reference,convention,,yes
seating.section_row,section_id,seating.section,child,child,,yes
sync.rejection,resolved_by_principal_id,identity.principal,ambient,role,yes,
sync.rejection,workstation_id,platform.workstation,reference,name,yes,yes
whitelabel.banner,tenant_config_id,whitelabel.tenant_config,child,child,,yes
whitelabel.config_version,published_by_principal_id,identity.principal,ambient,role,yes,yes
whitelabel.faq_entry,faq_category_id,whitelabel.faq_category,child,child,,yes
whitelabel.feature_toggle,tenant_config_id,whitelabel.tenant_config,child,child,,yes
whitelabel.homepage_section,content_page_id,whitelabel.content_page,reference,name,,
whitelabel.homepage_section,homepage_section_id,whitelabel.homepage_section,child,child,,yes
whitelabel.module_enablement,tenant_config_id,whitelabel.tenant_config,child,child,,yes
whitelabel.navigation_item,navigation_item_id,whitelabel.navigation_item,child,child,,yes
whitelabel.policy,published_by_principal_id,identity.principal,ambient,role,yes,
whitelabel.promo_block,promotion_id,promotions.promotion,reference,convention,yes,
whitelabel.tenant_config,tenant_id,platform.tenant,ambient,convention,yes,yes
workforce.announcement,venue_id,platform.scope_node,ambient,declared,yes,yes
workforce.announcement_receipt,announcement_id,workforce.announcement,child,child,,yes
workforce.announcement_receipt,principal_id,identity.principal,ambient,declared,yes,yes
workforce.attendance,assignment_id,workforce.rota_assignment,reference,declared,,yes
workforce.attendance,principal_id,identity.principal,ambient,declared,yes,yes
workforce.rota_assignment,principal_id,identity.principal,ambient,declared,yes,yes
workforce.rota_assignment,venue_id,platform.scope_node,ambient,declared,yes,yes
workforce.rota_assignment,workstation_id,platform.workstation,reference,declared,yes,yes
workforce.shift_swap,approval_request_id,approvals.request,reference,declared,yes,yes
workforce.shift_swap,assignment_id,workforce.rota_assignment,child,child,,yes
