contract,operationId,path,verb,state,siblingScreens,noScreenReason
workforce,getFieldOwnership,/integration-sources/{sourceId}/field-ownership,get,needsScreen,,
workforce,setFieldOwnership,/integration-sources/{sourceId}/field-ownership,put,needsScreen,,
workforce,listJobTitles,/job-titles,get,needsScreen,,
workforce,setJobTitle,/job-titles,put,needsScreen,,
workforce,listLeaveBalances,/leave-balances,get,needsScreen,,
workforce,listLeaveTypes,/leave-types,get,needsScreen,,
workforce,setLeaveType,/leave-types,put,needsScreen,,
workforce,listShiftPatterns,/shift-patterns,get,needsScreen,,
workforce,setShiftPattern,/shift-patterns,put,needsScreen,,
workforce,listSyncConflicts,/sync-conflicts,get,needsScreen,,
workforce,resolveSyncConflict,/sync-conflicts,post,needsScreen,,
workforce,listSyncRuns,/sync-runs,get,needsScreen,,
workforce,listWorkAssignments,/work-assignments,get,needsScreen,,
workforce,setWorkAssignment,/work-assignments,put,needsScreen,,
access,setEntryRulePoints,/admission-rules/{ruleId}/points,put,actionOnExistingScreen,createAdmissionRules | listAdmissionRules,
accreditation,replaceAccreditationCredential,/accreditation-credentials/{credentialId}/replace,post,actionOnExistingScreen,issueAccreditationCredential | listAccreditationCredentials,
ai,setSuggestionProvider,/ai/suggestion-providers,put,actionOnExistingScreen,proposeVenueLabels | recordSuggestionOutcome,
ai,proposeTranslations,/ai/translate,post,actionOnExistingScreen,proposeVenueLabels | recordSuggestionOutcome,
ai,proposeWalkways,/ai/venue-map/{mapId}/propose-walkways,post,actionOnExistingScreen,proposeVenueLabels | recordSuggestionOutcome,
ai,createKnowledgeCollection,/collections,post,actionOnExistingScreen,listKnowledgeCollections,
ai,ingestKnowledgeDocument,/collections/{collectionId}/documents,post,actionOnExistingScreen,listKnowledgeCollections,
ai,generateVenueLayout,/generate/venue-layout,post,actionOnExistingScreen,generateConfiguration,
ai,reindexSource,/index-sources/{sourceId}/reindex,post,scheduledJob,,
catalogue,setPlanBenefits,/entitlement-templates/{templateId}/benefits,put,actionOnExistingScreen,createEntitlementTemplate | listEntitlementTemplates,
catalogue,setDynamicPriceRule,/pricing/dynamic-rules/{ruleId},put,actionOnExistingScreen,listPricing,
catalogue,bulkChangePrices,/products/bulk-price,post,actionOnExistingScreen,createProduct | getProduct,
catalogue,commitCatalogueImport,/products/import/{jobId}/commit,post,actionOnExistingScreen,createProduct | getProduct,
catalogue,assessProductChange,/products/{productId}/change-impact,post,actionOnExistingScreen,createProduct | getProduct,
catalogue,cloneProduct,/products/{productId}/clone,post,actionOnExistingScreen,createProduct | getProduct,
catalogue,restoreProductVersion,/products/{productId}/versions/{version}/restore,post,actionOnExistingScreen,createProduct | getProduct,
catalogue,offerWaitlistCapacity,/waitlist-entries/{entryId}/offer,post,actionOnExistingScreen,joinWaitlist | leaveWaitlist,
cross-region,revokeCrossRegionEntitlement,/cross-region-entitlements/{rightId},delete,machineToMachine,consumeCrossRegionEntitlement | getCrossRegionEntitlement,
cross-region,createDsarRequest,/dsar/requests,post,machineToMachine,,
cross-region,getDsarRequest,/dsar/requests/{requestId},get,machineToMachine,,
cross-region,createGuestLink,/guest-links,post,machineToMachine,,
cross-region,resolveGuestLink,/guest-links/resolve,get,machineToMachine,,
cross-region,getGuestLink,/guest-links/{guestLinkId},get,machineToMachine,,
cross-region,revokeGuestLink,/guest-links/{guestLinkId},delete,machineToMachine,,
finance,setFxProvider,/fx-rates/providers,put,actionOnExistingScreen,ingestFxRates | listFxRates,
finance,runFxRevaluation,/fx/revaluation,post,scheduledJob,,
finance,disputeObligation,/inter-entity-obligations/{obligationId}/dispute,post,actionOnExistingScreen,recordSettlement,
finance,resolveObligationDispute,/inter-entity-obligations/{obligationId}/resolve,post,actionOnExistingScreen,recordSettlement,
fnb,sendOrderNotification,/fnb-orders/{orderId}/notify,post,actionOnExistingScreen,acceptFnbOrder | amendFnbOrder,
fnb,recordCorrectiveAction,/food-safety/corrective-actions/{actionId}/action,post,actionOnExistingScreen,getHaccpStatus | logColdChain,
fnb,closeCorrectiveAction,/food-safety/corrective-actions/{actionId}/close,post,actionOnExistingScreen,getHaccpStatus | logColdChain,
fnb,escalateCorrectiveAction,/food-safety/corrective-actions/{actionId}/escalate,post,actionOnExistingScreen,getHaccpStatus | logColdChain,
fnb,rebalanceStationLoad,/kitchen-stations/rebalance,post,actionOnExistingScreen,chaseStation,
fnb,attachModifierGroup,/menu-items/{menuItemId}/modifier-groups,put,actionOnExistingScreen,setItemAvailability | verifyAllergens,
fnb,createModifierGroup,/modifier-groups,post,actionOnExistingScreen,listModifierGroups,
fnb,setKitchenSla,/outlets/{outletId}/kitchen-sla,put,actionOnExistingScreen,getGuestMenu | getTableMap,
fnb,setSectionLayout,/outlets/{outletId}/sections,put,actionOnExistingScreen,getGuestMenu | getTableMap,
fnb,setIngredientSubstitutes,/recipes/{recipeId}/substitutes,put,actionOnExistingScreen,listRecipes | setRecipe,
fnb,sendBookingConfirmation,/table-reservations/{reservationId}/confirm,post,actionOnExistingScreen,createTableReservation | listTableReservations,
